,CHIN 407,•  CHIN 407 - Fourth Year Chinese I
,CHIN 408,•  CHIN 408 - Fourth Year Chinese II
,CHIN 409,•  CHIN 409 - Chinese in Context
,CHIN 452,•  CHIN 452 - Translating Chinese: Theory and Practice
,CHIN 494,•  CHIN 494 - Topics Course
,CLAS 101,•  CLAS 101 - The Classical Mediterranean and Middle East
,CLAS 111,•  CLAS 111 - Elementary Latin I
,CLAS 113,•  CLAS 113 - Elementary Arabic I
,CLAS 115,•  CLAS 115 - Elementary Greek I
,CLAS 117,•  CLAS 117 - Elementary Hebrew I
,CLAS 121,•  CLAS 121 - The Greek World
,CLAS 122,•  CLAS 122 - The Roman World
,CLAS 127,"•  CLAS 127 - Women, Gender and Sexuality in Ancient Greece and Rome"
,CLAS 129,•  CLAS 129 - Greek Myths
,CLAS 130,•  CLAS 130 - Early Arab and Persian Empires
,CLAS 135,•  CLAS 135 - India and Rome
,CLAS 145,"•  CLAS 145 - Pagans, Christians and Jews in Classical Antiquity: Cultures in Conflict"
,CLAS 155,"•  CLAS 155 - January in Rome: The Art, Archaeology, and Urban History of Ancient Rome"
,CLAS 194,•  CLAS 194 - Topics Course
,CLAS 200,•  CLAS 200 - Ancient and Medieval Philosophies
,CLAS 202,•  CLAS 202 - Sanskrit and Classical Religion in India
,CLAS 212,•  CLAS 212 - Elementary Latin II
,CLAS 214,•  CLAS 214 - Elementary Arabic II
,CLAS 218,•  CLAS 218 - Elementary Hebrew II
,CLAS 220,•  CLAS 220 - Ancient Healing and Medicine
,CLAS 223,•  CLAS 223 - Introduction to Archaeology
,CLAS 231,•  CLAS 231 - Intermediate Latin I: Prose
,CLAS 235,•  CLAS 235 - Elementary Greek II
,CLAS 237,•  CLAS 237 - Intermediate Hebrew I
,CLAS 241,•  CLAS 241 - Intermediate Arabic I
,CLAS 260,•  CLAS 260 - Introduction to Art History I: From Prehistory to the Medieval Period
,CLAS 261,•  CLAS 261 - Intermediate Greek: Prose
,CLAS 270,•  CLAS 270 - Cultural Resource Management
,CLAS 283,•  CLAS 283 - Art and Architecture of Ancient Greece and Rome
,CLAS 294,•  CLAS 294 - Topics Course
,CLAS 332,•  CLAS 332 - Intermediate Latin II: Poetry
,CLAS 338,•  CLAS 338 - Intermediate Hebrew II
,CLAS 342,•  CLAS 342 - Intermediate Arabic II
,CLAS 362,•  CLAS 362 - Intermediate Greek: Poetry
,CLAS 392,•  CLAS 392 - Topics Course
,CLAS 394,•  CLAS 394 - Topics Course
,CLAS 482,•  CLAS 482 - Advanced Archaeology Seminar
,CLAS 483,•  CLAS 483 - Advanced Reading in Latin
,CLAS 485,•  CLAS 485 - Advanced Arabic
,CLAS 487,•  CLAS 487 - Advanced Reading in Greek
,CLAS 490,•  CLAS 490 - Senior Seminar
,CLAS 494,•  CLAS 494 - Topics Course
,COMP 112,•  COMP 112 - Introduction to Data Science
,COMP 120,•  COMP 120 - Computing and Society
,COMP 123,•  COMP 123 - Core Concepts in Computer Science
,COMP 127,•  COMP 127 - Object-Oriented Programming and Abstraction
,COMP 128,•  COMP 128 - Data Structures
,COMP 154,•  COMP 154 - Digital Ethics
,COMP 194,•  COMP 194 - Topics Course
,COMP 212,•  COMP 212 - Intermediate Data Science
,COMP 221,•  COMP 221 - Algorithm Design and Analysis
,COMP 225,•  COMP 225 - Software Design and Development
,COMP 240,•  COMP 240 - Computer Systems
,COMP 272,•  COMP 272 - Advanced Remote Sensing
,COMP 294,•  COMP 294 - Topics Course
,COMP 302,•  COMP 302 - Introduction to Database Management Systems
,COMP 320,•  COMP 320 - Computational Biology
,COMP 321,•  COMP 321 - Software Testing
,COMP 325,•  COMP 325 - Video Games: Coding and Narrative
,COMP 340,•  COMP 340 - Digital Electronics
,COMP 342,•  COMP 342 - Operating Systems and Computer Architecture
,COMP 361,•  COMP 361 - Theory of Computation
,COMP 364,•  COMP 364 - Human-Computer Interaction
,COMP 365,•  COMP 365 - Computational Linear Algebra
,COMP 381,•  COMP 381 - Programming Languages
,COMP 394,•  COMP 394 - Topics Course
,COMP 435,•  COMP 435 - Data Visualization
,COMP 440,•  COMP 440 - Collective Intelligence
,COMP 445,•  COMP 445 - Parallel and Distributed Processing
,COMP 446,•  COMP 446 - Internet Computing
,COMP 456,•  COMP 456 - Projects in Data Science
,COMP 465,•  COMP 465 - Interactive Computer Graphics
,COMP 479,•  COMP 479 - Network Science
,COMP 480,•  COMP 480 - Bodies/Minds: AI Robotics
,COMP 484,•  COMP 484 - Introduction to Artificial Intelligence
,COMP 487,•  COMP 487 - Computer Security and Privacy
,COMP 494,•  COMP 494 - Topics Course
,ECON 113,•  ECON 113 - Financial Accounting
,ECON 115,•  ECON 115 - Introduction to American Economy
,ECON 116,•  ECON 116 - Organizational Leadership
,ECON 117,•  ECON 117 - Business Negotiations
,ECON 119,•  ECON 119 - Principles of Economics
,ECON 129,•  ECON 129 - Calculus-Based Principles of Economics
,ECON 194,•  ECON 194 - Topics Course
,ECON 210,•  ECON 210 - Business Communications
,ECON 221,•  ECON 221 - Introduction to International Economics
,ECON 225,•  ECON 225 - Comparative Economic Systems
,ECON 229,•  ECON 229 - World Economic History
,ECON 231,•  ECON 231 - Environmental Economics and Policy
,ECON 235,"•  ECON 235 - Climate Change: Science, Economics, and Policy"
,ECON 238,•  ECON 238 - Introduction to Entrepreneurship
,ECON 239,•  ECON 239 - Economics of Global Food Problems
,ECON 242,•  ECON 242 - Economics of Gender
,ECON 256,•  ECON 256 - Intro to Investment Banking
,ECON 258,•  ECON 258 - Introduction to Securities Analysis
,ECON 277,•  ECON 277 - Money and Banking
,ECON 294,•  ECON 294 - Topics Course
,ECON 325,"•  ECON 325 - China, Russia and Central Europe in Transition"
,ECON 342,•  ECON 342 - Economics of Poverty in the US
,ECON 353,•  ECON 353 - Managerial Accounting
,ECON 354,•  ECON 354 - Deals
,ECON 356,•  ECON 356 - Capital Markets
,ECON 361,•  ECON 361 - Intermediate Microeconomic Analysis
,ECON 371,•  ECON 371 - Intermediate Macroeconomic Analysis
,ECON 381,•  ECON 381 - Introduction to Econometrics
,ECON 394,•  ECON 394 - Topics Course
,ECON 405,•  ECON 405 - Industrial Organization
,ECON 406,•  ECON 406 - Industrial Organization Capstone
,ECON 421,•  ECON 421 - International Trade and Multinational Corporations
,ECON 422,•  ECON 422 - International Trade and Multinational Corporations Capstone
,ECON 425,•  ECON 425 - International Economic Development
,ECON 426,•  ECON 426 - International Economic Development Capstone
,ECON 431,•  ECON 431 - Economics of Public Policy
,ECON 432,•  ECON 432 - Economics of Public Policy Capstone
,ECON 442,•  ECON 442 - Labor Economics
,ECON 444,•  ECON 444 - Honors Seminar
,ECON 457,•  ECON 457 - Finance
,ECON 471,•  ECON 471 - Macroeconomic Modeling
,ECON 472,•  ECON 472 - Macroeconomic Modeling Capstone
,ECON 473,•  ECON 473 - Open Economy Macroeconomics
,ECON 474,•  ECON 474 - Open Economy Macroeconomics Capstone
,ECON 477,•  ECON 477 - Economic Growth
,ECON 478,•  ECON 478 - Economic Growth Capstone
,ECON 481,•  ECON 481 - Advanced Econometrics
,ECON 485,•  ECON 485 - Empirical Finance
,ECON 486,•  ECON 486 - Empirical Finance Capstone
,ECON 489,•  ECON 489 - Behavioral and Experimental Economics
,ECON 490,•  ECON 490 - Behavioral and Experimental Economics Capstone
,ECON 494,•  ECON 494 - Topics Course
,EDUC 194,•  EDUC 194 - Topics Course
,EDUC 200,•  EDUC 200 - Experiences in Education
,EDUC 202,•  EDUC 202 - Pedagogies of Enlightenment
,EDUC 220,•  EDUC 220 - Educational Psychology
,EDUC 225,"•  EDUC 225 - Education, Community and Cultural Survival in New Orleans"
,EDUC 230,•  EDUC 230 - Community Youth Development in Multicultural America
,EDUC 240,"•  EDUC 240 - Race, Culture, and Ethnicity in Education"
,EDUC 250,•  EDUC 250 - Building Trust: Education in Global Perspective
,EDUC 251,•  EDUC 251 - Cramming for the Exam: Education in Chinese Literature and History
,EDUC 260,•  EDUC 260 - Critical Issues in Urban Education
,EDUC 265,•  EDUC 265 - The Schools-to-Prison Pipeline
,EDUC 275,"•  EDUC 275 - Outdoor Environmental Education in Theory, Policy and Practice"
,EDUC 294,•  EDUC 294 - Topics Course
,EDUC 315,•  EDUC 315 - Advanced Topics in Policy: US Education Politics and Policy
,EDUC 330,•  EDUC 330 - Philosophy of Education
,EDUC 380,•  EDUC 380 - Research Methods for Education and Advocacy
,EDUC 390,•  EDUC 390 - Teaching and Learning in Urban Schools
,EDUC 394,•  EDUC 394 - Topics Course
,EDUC 460,•  EDUC 460 - Education and Social Change
,EDUC 494,•  EDUC 494 - Topics Course
,ENGL 101,•  ENGL 101 - College Writing
,ENGL 105,•  ENGL 105 - Identities and Differences in U.S. Literature
,ENGL 112,•  ENGL 112 - Introduction to African American Literature
,ENGL 115,•  ENGL 115 - Shakespeare
,ENGL 125,•  ENGL 125 - Studies in Literature
,ENGL 135,•  ENGL 135 - Poetry
,ENGL 136,•  ENGL 136 - Drama
,ENGL 137,•  ENGL 137 - Novel
,ENGL 140,•  ENGL 140 - Once Upon a Crime
,ENGL 150,•  ENGL 150 - Introduction to Creative Writing
,ENGL 194,•  ENGL 194 - Topics Course
,ENGL 200,•  ENGL 200 - Major Medieval and Renaissance British Writers
